FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.12837837837837837,1.0
0.0,0.21621621621621623,0.99
0.0,0.2972972972972973,0.98
0.0,0.34797297297297297,0.97
0.0,0.40709459459459457,0.96
0.0,0.44763513513513514,0.95
0.0,0.47466216216216217,0.94
0.0,0.5135135135135135,0.93
0.0,0.5506756756756757,0.92
0.0,0.5692567567567568,0.91
0.0,0.6013513513513513,0.9
0.0,0.6486486486486487,0.88
0.0,0.6756756756756757,0.87
0.0,0.6976351351351351,0.86
0.0,0.7331081081081081,0.83
0.0,0.7635135135135135,0.81
0.0,0.7804054054054054,0.8
0.0,0.785472972972973,0.79
0.0,0.8006756756756757,0.78
0.0,0.8141891891891891,0.77
0.0,0.8260135135135135,0.76
0.003424657534246575,0.8361486486486487,0.75
0.003424657534246575,0.8445945945945946,0.74
0.003424657534246575,0.8462837837837838,0.73
0.003424657534246575,0.8597972972972973,0.71
0.003424657534246575,0.8682432432432432,0.7
0.003424657534246575,0.8733108108108109,0.69
0.003424657534246575,0.8834459459459459,0.68
0.003424657534246575,0.8851351351351351,0.67
0.003424657534246575,0.8885135135135135,0.66
0.003424657534246575,0.893581081081081,0.65
0.003424657534246575,0.8969594594594594,0.64
0.003424657534246575,0.910472972972973,0.62
0.003424657534246575,0.918918918918919,0.61
0.003424657534246575,0.9290540540540541,0.6
0.003424657534246575,0.9358108108108109,0.57
0.003424657534246575,0.9425675675675675,0.56
0.005136986301369863,0.9459459459459459,0.55
0.005136986301369863,0.9510135135135135,0.54
0.005136986301369863,0.9527027027027027,0.53
0.00684931506849315,0.9527027027027027,0.51
0.00684931506849315,0.9611486486486487,0.5
0.00684931506849315,0.9662162162162162,0.49
0.010273972602739725,0.9662162162162162,0.46
0.010273972602739725,0.9695945945945946,0.45
0.011986301369863013,0.9695945945945946,0.44
0.0136986301369863,0.9712837837837838,0.43
0.0136986301369863,0.9746621621621622,0.42
0.015410958904109588,0.9797297297297297,0.41
0.015410958904109588,0.981418918918919,0.4
0.018835616438356163,0.9847972972972973,0.38
0.02226027397260274,0.9864864864864865,0.37
0.025684931506849314,0.9864864864864865,0.36
0.030821917808219176,0.9898648648648649,0.35
0.03767123287671233,0.9898648648648649,0.34
0.04280821917808219,0.9915540540540541,0.33
0.04452054794520548,0.9932432432432432,0.32
0.04794520547945205,0.9932432432432432,0.31
0.05650684931506849,0.9932432432432432,0.3
0.06164383561643835,0.9966216216216216,0.29
0.0684931506849315,0.9966216216216216,0.28
0.07363013698630137,1.0,0.27
0.08047945205479452,1.0,0.26
0.08561643835616438,1.0,0.25
0.0958904109589041,1.0,0.24
0.10787671232876712,1.0,0.23
0.11815068493150685,1.0,0.22
0.13013698630136986,1.0,0.21
0.1541095890410959,1.0,0.2
0.1695205479452055,1.0,0.19
0.20205479452054795,1.0,0.18
0.2363013698630137,1.0,0.17
0.2551369863013699,1.0,0.16
0.2756849315068493,1.0,0.15
0.3047945205479452,1.0,0.14
0.3424657534246575,1.0,0.13
0.3904109589041096,1.0,0.12
0.4263698630136986,1.0,0.11
0.4777397260273973,1.0,0.1
0.5136986301369864,1.0,0.09
0.553082191780822,1.0,0.08
0.6147260273972602,1.0,0.07
0.6421232876712328,1.0,0.06
0.6986301369863014,1.0,0.05
0.7448630136986302,1.0,0.04
0.7825342465753424,1.0,0.03
0.8458904109589042,1.0,0.02
0.940068493150685,1.0,0.01
1.0,1.0,0.0
